LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
BEL,INTERNET,TOT,PC_HH,A,2005,50.1575
BEL,INTERNET,TOT,PC_HH,A,2006,53.9597
BEL,INTERNET,TOT,PC_HH,A,2007,60.164
BEL,INTERNET,TOT,PC_HH,A,2008,63.6276
BEL,INTERNET,TOT,PC_HH,A,2009,67.4352
BEL,INTERNET,TOT,PC_HH,A,2010,72.7371
BEL,INTERNET,TOT,PC_HH,A,2011,76.5078
BEL,INTERNET,TOT,PC_HH,A,2012,77.7137
BEL,INTERNET,TOT,PC_HH,A,2013,80.0478
BEL,INTERNET,TOT,PC_HH,A,2014,82.8041
BEL,INTERNET,TOT,PC_HH,A,2015,81.825
BEL,INTERNET,TOT,PC_HH,A,2016,84.7857
BEL,INTERNET,TOT,PC_HH,A,2017,85.9684
BEL,INTERNET,TOT,PC_HH,A,2018,87.2725
